debug7FPBRI:debugZWKIK4,condition,2
debug7FPBRI:debugZWKIK4,email,aoyasuda@mines.edu
debug7FPBRI:debugZWKIK4,cwid,622222
debug7FPBRI:debugZWKIK4,age,21
debug7FPBRI:debugZWKIK4,pre_interest1,3
debug7FPBRI:debugZWKIK4,pre_interest2,3
debug7FPBRI:debugZWKIK4,pre_interest3,3
debug7FPBRI:debugZWKIK4,pre_interest4,3
debug7FPBRI:debugZWKIK4,event_description,fda
debug7FPBRI:debugZWKIK4,sara_impression,gfdag
debug7FPBRI:debugZWKIK4,slider_question_1,55
debug7FPBRI:debugZWKIK4,slider_question_2,36
debug7FPBRI:debugZWKIK4,slider_question_3,51
debug7FPBRI:debugZWKIK4,slider_question_4,37
debug7FPBRI:debugZWKIK4,slider_question_5,54
debug7FPBRI:debugZWKIK4,slider_question_6,41
debug7FPBRI:debugZWKIK4,slider_question_7,38
debug7FPBRI:debugZWKIK4,slider_question_8,39
debug7FPBRI:debugZWKIK4,slider_question_9,55
debug7FPBRI:debugZWKIK4,slider_question_10,54
debug7FPBRI:debugZWKIK4,slider_question_11,50
debug7FPBRI:debugZWKIK4,post_interest1,2
debug7FPBRI:debugZWKIK4,post_interest2,2
debug7FPBRI:debugZWKIK4,post_interest3,2
debug7FPBRI:debugZWKIK4,post_interest4,2
debug7FPBRI:debugZWKIK4,post_interest5,2
debug7FPBRI:debugZWKIK4,ideal_response,empathize_apologetic
debug7FPBRI:debugZWKIK4,heard_before,heard_before_no
debug7FPBRI:debugZWKIK4,gender,man
debug7FPBRI:debugZWKIK4,education,engineering
debug7FPBRI:debugZWKIK4,prev_robot,yes
debug7FPBRI:debugZWKIK4,nationality,other
debug7FPBRI:debugZWKIK4,other_gender_text,
debug7FPBRI:debugZWKIK4,other_education_text,
debug7FPBRI:debugZWKIK4,other_nation_text,
debug4BB3KH:debug711L6B,age,21
debug4BB3KH:debug711L6B,condition,1
debug4BB3KH:debug711L6B,pre_interest1,2
debug4BB3KH:debug711L6B,pre_interest2,3
debug4BB3KH:debug711L6B,pre_interest3,4
debug4BB3KH:debug711L6B,pre_interest4,4
debugHY1FVN:debugB05QIG,education,social sci
debugHY1FVN:debugB05QIG,gender,genderfluid
debugHY1FVN:debugB05QIG,nationality,Mexican
debugHY1FVN:debugB05QIG,other_education_text,
debugHY1FVN:debugB05QIG,other_gender_text,
debugHY1FVN:debugB05QIG,other_nation_text,
debugHY1FVN:debugB05QIG,prev_robot,no
debugHY1FVN:debugB05QIG,anthropomorphism_1,43
debugHY1FVN:debugB05QIG,anthropomorphism_2,68
debugHY1FVN:debugB05QIG,anthropomorphism_3,73
debugHY1FVN:debugB05QIG,likeability_1,26
debugHY1FVN:debugB05QIG,likeability_2,34
debugHY1FVN:debugB05QIG,likeability_3,29
debugHY1FVN:debugB05QIG,post_interest1,1
debugHY1FVN:debugB05QIG,post_interest2,2
debugHY1FVN:debugB05QIG,post_interest3,3
debugHY1FVN:debugB05QIG,post_interest4,4
debugHY1FVN:debugB05QIG,post_interest5,5
debugHY1FVN:debugB05QIG,ideal_response,avoid
debugHY1FVN:debugB05QIG,heard_before,heard_before_yes
debugHY1FVN:debugB05QIG,check,2
debugHY1FVN:debugB05QIG,speech,yes
debugHY1FVN:debugB05QIG,experience,interested_experience
